restaurant_instance,sinaiyah,mansoriah,namar,badiah,malaz,duraihmiyah,al-uraija,arid,dhahrat-al-badiah,khaldiyah,hada,umm-al-hamam-alsharqi,hateen,dhahrat-laban,khashm-al-an,king-abdulaziz-neighborhood,okaz,qadisiayh,saadah,rimal,uraija-al-wusta,al-massani,al-sulaymanaya,al-ulaya,al-rawabi,janadriyah,al-safarat,jabrah,jazirah,imam-mohamed-islamic-university,al-mather-street,ghirnatah,dahiat-namar,manfuhah,manfuhah-al-jadidah,ghubairuh,marqab,al-shomaisi,salhiyah,alawali,new-industrial-area,namudhajiyah,sultanah,al-dhubat,al-nafal,al-morabaa,faiha,al-khaleej,al-rawdah,al-quds,al-waha,rafiah,jarir,king-fahd-neighborhood,sharafiyah,dar-al-baida,umm-al-hamam-algarbi,al-rabwah,mutamarat,safa,rahmaniyah,salah-ad-din,an-nakhil,yamamah,mikal,oud,dereyah,al-yarmok,rabie,al-morsalat,al-falah,ghadir,narjis,al-hazm,east-an-nasim,al-muruj,sahafah,king-saud-university,fakhriyah,ar-rayan,raid,king-khalid-airport,al-marwa,ulaishah,umm-salim,al-wadi,al-ta-awun,al-isdihar,yasmin,al-mughrizat,ad-difa,faruq,munsiyah,al-mahdiyah,nasiriyah,al-iskan,wazarat,al-bariah,alsharq,faisaliyah,suwaidi-al-gharbi,manakh,malqa,qurtubah,salam,qirawan,utaiqah,al-azizyah,mansura,laban,irgah,khuzama,uraija-al-gharbiyah,alnodhem,king-faisal-neighborhood,maizlh,al-nasem,rimayah,tuwaiq,al-suwaidi,al-salli,king-abdllah-neighborhood,badr,al-moqbel-palaces,al-amaaria,al-muzahimiyah,al-butaiha,alqura,al-uyaynah,al-jubaylah,dirab,banban,princes-nora-university,al-haeer,al-mishal,al-amal,uhud,al-zahra,hyt,manar,misfat,nur,ash-shuhada,taybah,thulaim,al-andalus,al-nahda,hamra,ishbiliyah,al-mathar-alshmali,alard,al-muhammadeya,al-nuzhah,al-wurud,ar-rihab,masiaf,nada,al-futha,al-ghnamiah,al-jaradiyah,al-wisham,wusayta,ash-shifa,dirah,siyah,dubiyah,shubra,skirinah,zahrah,aqiq
indian-jungle,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city-wok,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0
cookies%20n'%20cream,16.0,10.5,10.5,10.5,10.5,10.5,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,16.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,16.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,16.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,,,,10.5,10.5,16.0,,10.5,,10.5,,10.5,10.5,10.5,10.5,,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
doner-house,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
kabab-house,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0
qarya-iraq,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,3.0,,3.0,3.0
the-ruk,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,,5.0,,5.0,,,,,,,,,,,,5.0,,,,,,,5.0,,5.0,5.0,,5.0,,5.0,,5.0,,,,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
the-rice-and-the-noodle,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,,,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,,15.0,,,15.0,15.0,15.0,,15.0,,,,15.0,15.0,15.0,,,,15.0,15.0,,15.0,15.0,15.0,15.0,,,,,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,15.0,,15.0,15.0,20.0,,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,15.0,,15.0,15.0,15.0,15.0,,30.0,15.0,15.0,15.0,,,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,,,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
al-saudi,5.0,5.0,,,5.0,,,,,5.0,,5.0,5.0,5.0,,,,,5.0,,,,5.0,5.0,5.0,,,,,,5.0,5.0,,,,5.0,,,5.0,,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5.0,,5.0,,5.0,5.0,,,,5.0,,5.0,,,,,5.0,,5.0,,5.0,5.0,,5.0,5.0,,,,,,5.0,,5.0,,,,5.0,,,,5.0,,,,,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,,,,,,,,,,,,,,5.0
al%20nafoura%20,5.0,,5.0,,5.0,,,,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,,5.0,,,5.0,,,,,,,,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,,,5.0,,,5.0,,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,,5.0,,5.0,5.0,5.0,,,5.0,5.0,,,,,5.0,,,5.0,,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,,,,,,,,5.0,,,,,,5.0,5.0,,5.0,,5.0,5.0,,,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,5.0,5.0,5.0,,,5.0,,5.0,,,,5.0,,5.0,5.0
awshal,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
brosted,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,
al-afandi,10.0,,,,10.0,,,,10.0,10.0,10.0,10.0,,10.0,,,,10.0,10.0,10.0,10.0,,10.0,10.0,,,10.0,,10.0,,10.0,10.0,,,,10.0,,,10.0,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,,10.0,10.0,10.0,,10.0,,,10.0,10.0,,10.0,,10.0,10.0,,,,,10.0,10.0,10.0,,10.0,,10.0,10.0,,10.0,,10.0,,,10.0,10.0,,,10.0,,,,,10.0,10.0,,,10.0,,10.0,,10.0,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,10.0,,10.0,,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,,,,,,,,,10.0,,10.0,
el-moez-st,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,,,5.0,5.0,,,5.0,5.0,5.0,5.0,,,5.0,5.0,,5.0,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,,,5.0,5.0,,,5.0,5.0,5.0,,,5.0
